GHZ;;;;;;;;;
FREQ.GHZ;;S11DB;S11A;S21DB;S21A;S12DB;S12A;S22DB;S22A
0.001371183;1371183;-1.660687;-0.2128772;-21.06489;-0.2690105;-21.10889;-0.2053256;-29.74969;-179.0472
0.001379696;1379696;-1.660103;-0.2138672;-21.0612;-0.2933623;-21.11007;-0.2036251;-29.74852;-178.9989
0.001388263;1388263;-1.662016;-0.2108508;-21.06143;-0.1954794;-21.10951;-0.2171283;-29.73422;-178.9908
0.001396882;1396882;-1.659787;-0.209672;-21.05906;-0.2471935;-21.10631;-0.2346292;-29.74624;-178.9462
0.001405555;1405555;-1.657808;-0.2313725;-21.05719;-0.2931926;-21.11098;-0.228362;-29.74312;-178.95
0.001414282;1414282;-1.660389;-0.2123175;-21.06067;-0.285269;-21.11016;-0.205892;-29.74137;-178.9371
0.001423063;1423063;-1.659081;-0.2131327;-21.06124;-0.2422834;-21.11005;-0.2200132;-29.73656;-178.9681
0.001431899;1431899;-1.656541;-0.2536757;-21.05802;-0.2997674;-21.10903;-0.2435475;-29.73165;-178.9583
0.001440789;1440789;-1.657978;-0.2347199;-21.05815;-0.1949142;-21.10677;-0.206536;-29.73723;-178.9456
0.001449735;1449735;-1.658593;-0.2257613;-21.05839;-0.188513;-21.11094;-0.2270048;-29.73829;-178.9333
0.001458736;1458736;-1.659689;-0.2457544;-21.05927;-0.1700464;-21.1057;-0.2309601;-29.74182;-178.9035
0.001467793;1467793;-1.660331;-0.2512537;-21.06387;-0.2207204;-21.11188;-0.2022437;-29.74469;-178.9068
0.001476907;1476907;-1.660565;-0.2274951;-21.05923;-0.1594358;-21.11129;-0.2172524;-29.7453;-178.9041
0.001486077;1486077;-1.660751;-0.228704;-21.05886;-0.2328416;-21.11178;-0.2407314;-29.74129;-178.8903
0.001495303;1495303;-1.661781;-0.2265101;-21.06265;-0.1649545;-21.10735;-0.2097231;-29.74143;-178.8916
0.001504588;1504588;-1.661067;-0.2412515;-21.06274;-0.2235634;-21.10762;-0.2272752;-29.73983;-178.8844
0.001513929;1513929;-1.660772;-0.241265;-21.05884;-0.197382;-21.10941;-0.2333879;-29.73746;-178.8487
0.001523329;1523329;-1.661299;-0.2396127;-21.06098;-0.3195754;-21.10657;-0.2297591;-29.74744;-178.8476
0.001532787;1532787;-1.660031;-0.2427996;-21.06121;-0.1974001;-21.10713;-0.2117676;-29.74033;-178.8301
0.001542304;1542304;-1.658031;-0.232666;-21.05729;-0.2656015;-21.10878;-0.2279132;-29.74189;-178.7948
0.00155188;1551880;-1.661509;-0.2588711;-21.0627;-0.2517016;-21.10696;-0.2554997;-29.74064;-178.8067
0.001561516;1561516;-1.658683;-0.2340564;-21.05933;-0.2241143;-21.1059;-0.216789;-29.73522;-178.812
0.001571211;1571211;-1.660208;-0.2557347;-21.06149;-0.1664828;-21.1126;-0.2308802;-29.73938;-178.8202
0.001580966;1580966;-1.657536;-0.2294975;-21.05933;-0.1700963;-21.11233;-0.2595955;-29.73649;-178.828
