Times	VLIN
-2.00E-08	0.01199997
-1.99E-08	-0.004000033
-1.98E-08	0.01199997
-1.97E-08	-0.004000033
-1.96E-08	0.003999967
-1.95E-08	0.003999967
-1.94E-08	0.003999967
-1.93E-08	-0.004000033
-1.92E-08	-0.004000033
-1.91E-08	0.003999967
-1.90E-08	-0.01200003
-1.89E-08	0.003999967
-1.88E-08	0.003999967
-1.87E-08	0.003999967
-1.86E-08	0.003999967
-1.85E-08	0.003999967
-1.84E-08	0.003999967
-1.83E-08	0.003999967
-1.82E-08	-0.01200003
-1.81E-08	-0.004000033
-1.80E-08	-0.004000033
-1.79E-08	0.003999967
-1.78E-08	0.003999967
-1.77E-08	-0.01200003
-1.76E-08	0.003999967
-1.75E-08	-0.004000033
-1.74E-08	-0.004000033
-1.73E-08	0.003999967
-1.72E-08	-0.01200003
-1.71E-08	-0.004000033
-1.70E-08	-0.004000033
-1.69E-08	0.003999967
-1.68E-08	0.003999967
-1.67E-08	0.003999967
-1.66E-08	0.003999967
-1.65E-08	-0.01200003
-1.64E-08	0.003999967
-1.63E-08	-0.01200003
-1.62E-08	-0.004000033
-1.61E-08	-0.004000033
-1.60E-08	0.003999967
-1.59E-08	0.003999967
-1.58E-08	0.003999967
-1.57E-08	-0.004000033
-1.56E-08	-0.02000003
-1.55E-08	-0.004000033
-1.54E-08	0.003999967
-1.53E-08	-0.02000003
-1.52E-08	-0.004000033
-1.51E-08	0.003999967
-1.50E-08	-0.02000003
-1.49E-08	-0.01200003
-1.48E-08	-0.02000003
-1.47E-08	0.003999967
-1.46E-08	0.01999997
-1.45E-08	0.01199997
-1.44E-08	-0.004000033
-1.43E-08	-0.01200003
-1.42E-08	-0.004000033
-1.41E-08	-0.02000003
-1.40E-08	0.003999967
-1.39E-08	-0.02000003
-1.38E-08	-0.004000033
-1.37E-08	0.01199997
-1.36E-08	0.003999967
-1.35E-08	-0.01200003
-1.34E-08	0.003999967
-1.33E-08	-0.004000033
-1.32E-08	-0.01200003
-1.31E-08	-0.02000003
-1.30E-08	-0.004000033
-1.29E-08	-0.01200003
-1.28E-08	-0.01200003
-1.27E-08	-0.02800003
-1.26E-08	0.003999967
-1.25E-08	-0.01200003
-1.24E-08	-0.004000033
-1.23E-08	0.003999967
-1.22E-08	-0.004000033
-1.21E-08	0.01199997
-1.20E-08	-0.01200003
-1.19E-08	-0.004000033
-1.18E-08	0.003999967
-1.17E-08	0.003999967
-1.16E-08	-0.004000033
-1.15E-08	-0.004000033
-1.14E-08	0.01199997
-1.13E-08	0.01199997
-1.12E-08	-0.01200003
-1.11E-08	-0.004000033
-1.10E-08	-0.004000033
-1.09E-08	-0.004000033
-1.08E-08	-0.004000033
-1.07E-08	0.003999967
-1.06E-08	-0.004000033
-1.05E-08	-0.01200003
-1.04E-08	-0.01200003
-1.03E-08	0.003999967
-1.02E-08	0.01199997
-1.01E-08	0.003999967
-1.00E-08	-0.01200003
-9.90E-09	-0.01200003
-9.80E-09	0.01199997
-9.70E-09	-0.004000033
-9.60E-09	0.01199997
-9.50E-09	-0.01200003
-9.40E-09	0.01199997
-9.30E-09	-0.004000033
-9.20E-09	0.003999967
-9.10E-09	0.003999967
-9.00E-09	0.003999967
-8.90E-09	-0.01200003
-8.80E-09	0.01199997
-8.70E-09	-0.01200003
-8.60E-09	0.003999967
-8.50E-09	-0.02000003
-8.40E-09	-0.004000033
-8.30E-09	0.003999967
-8.20E-09	0.003999967
-8.10E-09	0.003999967
-8.00E-09	-0.004000033
-7.90E-09	0.003999967
-7.80E-09	-0.004000033
-7.70E-09	-0.01200003
-7.60E-09	-0.004000033
-7.50E-09	-0.01200003
-7.40E-09	0.01199997
-7.30E-09	0.01199997
-7.20E-09	-0.004000033
-7.10E-09	0.003999967
-7.00E-09	-0.004000033
-6.90E-09	-0.01200003
-6.80E-09	-0.004000033
-6.70E-09	0.01199997
-6.60E-09	0.01199997
-6.50E-09	-0.004000033
-6.40E-09	0.01999997
-6.30E-09	-0.004000033
-6.20E-09	0.003999967
-6.10E-09	-0.01200003
-6.00E-09	-0.004000033
-5.90E-09	-0.02000003
-5.80E-09	0.01999997
-5.70E-09	-0.004000033
-5.60E-09	0.003999967
-5.50E-09	-0.004000033
-5.40E-09	-0.004000033
-5.30E-09	-0.01200003
-5.20E-09	0.01199997
-5.10E-09	0.003999967
-5.00E-09	-0.004000033
-4.90E-09	-0.02000003
-4.80E-09	-0.01200003
-4.70E-09	-0.01200003
-4.60E-09	0.01199997
-4.50E-09	-0.004000033
-4.40E-09	-0.004000033
-4.30E-09	0.01999997
-4.20E-09	0.003999967
-4.10E-09	0.01999997
-4.00E-09	-0.004000033
-3.90E-09	-0.01200003
